Week,Sku,Sales
09/04/2018,sku05,12588
16/04/2018,sku05,1332
23/04/2018,sku05,1668
30/04/2018,sku05,420
07/05/2018,sku05,732
14/05/2018,sku05,9384
21/05/2018,sku05,21804
28/05/2018,sku05,708
04/06/2018,sku05,192
11/06/2018,sku05,240
18/06/2018,sku05,324
25/06/2018,sku05,13488
02/07/2018,sku05,7500
09/07/2018,sku05,45576
16/07/2018,sku05,888
23/07/2018,sku05,144
30/07/2018,sku05,168
06/08/2018,sku05,21780
13/08/2018,sku05,36
20/08/2018,sku05,2796
27/08/2018,sku05,120
03/09/2018,sku05,44136
10/09/2018,sku05,21780
17/09/2018,sku05,780
24/09/2018,sku05,13704
01/10/2018,sku05,22488
08/10/2018,sku05,696
15/10/2018,sku05,60
22/10/2018,sku05,11724
29/10/2018,sku05,22032
05/11/2018,sku05,84
12/11/2018,sku05,684
19/11/2018,sku05,44940
26/11/2018,sku05,132
03/12/2018,sku05,22056
10/12/2018,sku05,21936
17/12/2018,sku05,180
24/12/2018,sku05,36
31/12/2018,sku05,0
07/01/2019,sku05,0
14/01/2019,sku05,84
21/01/2019,sku05,48
28/01/2019,sku05,0
04/02/2019,sku05,0
11/02/2019,sku05,21876
18/02/2019,sku05,21876
25/02/2019,sku05,192
04/03/2019,sku05,45336
11/03/2019,sku05,22452
18/03/2019,sku05,60
25/03/2019,sku05,1380
01/04/2019,sku05,21912
08/04/2019,sku05,72
15/04/2019,sku05,156
22/04/2019,sku05,21804
29/04/2019,sku05,22488
06/05/2019,sku05,21996
13/05/2019,sku05,864
20/05/2019,sku05,120
27/05/2019,sku05,22020
03/06/2019,sku05,21864
10/06/2019,sku05,996
17/06/2019,sku05,25896
24/06/2019,sku05,21828
01/07/2019,sku05,12
08/07/2019,sku05,13308
15/07/2019,sku05,816
22/07/2019,sku05,4212
29/07/2019,sku05,48
05/08/2019,sku05,36
12/08/2019,sku05,3420
19/08/2019,sku05,720
26/08/2019,sku05,22824
02/09/2019,sku05,816
09/09/2019,sku05,34440
16/09/2019,sku05,276
23/09/2019,sku05,21840
30/09/2019,sku05,7968
07/10/2019,sku05,23856
14/10/2019,sku05,11916
21/10/2019,sku05,21852
28/10/2019,sku05,21876
04/11/2019,sku05,22500
11/11/2019,sku05,816
18/11/2019,sku05,24
25/11/2019,sku05,22536
02/12/2019,sku05,1380
09/12/2019,sku05,27816
16/12/2019,sku05,696
23/12/2019,sku05,0
30/12/2019,sku05,0
06/01/2020,sku05,0
13/01/2020,sku05,48
20/01/2020,sku05,24
27/01/2020,sku05,30480
03/02/2020,sku05,7920
10/02/2020,sku05,4716
17/02/2020,sku05,22476
24/02/2020,sku05,0
02/03/2020,sku05,68016
09/03/2020,sku05,23148
16/03/2020,sku05,3480
23/03/2020,sku05,108
30/03/2020,sku05,23772
06/04/2020,sku05,24
13/04/2020,sku05,48
20/04/2020,sku05,12
27/04/2020,sku05,1320
04/05/2020,sku05,288
11/05/2020,sku05,11280
18/05/2020,sku05,12
25/05/2020,sku05,660
01/06/2020,sku05,2016
08/06/2020,sku05,756
15/06/2020,sku05,804
22/06/2020,sku05,4140
29/06/2020,sku05,24456
06/07/2020,sku05,180
13/07/2020,sku05,21792
20/07/2020,sku05,5400
27/07/2020,sku05,0
03/08/2020,sku05,44112
10/08/2020,sku05,708
17/08/2020,sku05,67356
24/08/2020,sku05,24420
31/08/2020,sku05,78552
