Week,Sku,Sales
09/04/2018,sku02,2288
16/04/2018,sku02,2912
23/04/2018,sku02,4160
30/04/2018,sku02,2912
07/05/2018,sku02,1040
14/05/2018,sku02,3120
21/05/2018,sku02,2496
28/05/2018,sku02,2912
04/06/2018,sku02,3328
11/06/2018,sku02,2704
18/06/2018,sku02,20800
25/06/2018,sku02,2080
02/07/2018,sku02,3120
09/07/2018,sku02,3536
16/07/2018,sku02,3120
23/07/2018,sku02,2496
30/07/2018,sku02,2080
06/08/2018,sku02,3744
13/08/2018,sku02,2704
20/08/2018,sku02,3328
27/08/2018,sku02,2288
03/09/2018,sku02,2704
10/09/2018,sku02,1248
17/09/2018,sku02,2288
24/09/2018,sku02,3328
01/10/2018,sku02,3120
08/10/2018,sku02,6032
15/10/2018,sku02,6240
22/10/2018,sku02,3744
29/10/2018,sku02,3328
05/11/2018,sku02,20800
12/11/2018,sku02,4992
19/11/2018,sku02,2704
26/11/2018,sku02,3536
03/12/2018,sku02,4784
10/12/2018,sku02,2912
17/12/2018,sku02,3952
24/12/2018,sku02,832
31/12/2018,sku02,832
07/01/2019,sku02,832
14/01/2019,sku02,3744
21/01/2019,sku02,4160
28/01/2019,sku02,3120
04/02/2019,sku02,8528
11/02/2019,sku02,6864
18/02/2019,sku02,6864
25/02/2019,sku02,1872
04/03/2019,sku02,2704
11/03/2019,sku02,3744
18/03/2019,sku02,3952
25/03/2019,sku02,5408
01/04/2019,sku02,4992
08/04/2019,sku02,3120
15/04/2019,sku02,3536
22/04/2019,sku02,5408
29/04/2019,sku02,1040
06/05/2019,sku02,13936
13/05/2019,sku02,26000
20/05/2019,sku02,4992
27/05/2019,sku02,3952
03/06/2019,sku02,19344
10/06/2019,sku02,52832
17/06/2019,sku02,2080
24/06/2019,sku02,16848
01/07/2019,sku02,10608
08/07/2019,sku02,17056
15/07/2019,sku02,8528
22/07/2019,sku02,29744
29/07/2019,sku02,18720
05/08/2019,sku02,16224
12/08/2019,sku02,36608
19/08/2019,sku02,14768
26/08/2019,sku02,31616
02/09/2019,sku02,23504
09/09/2019,sku02,39520
16/09/2019,sku02,22256
23/09/2019,sku02,23088
30/09/2019,sku02,27872
07/10/2019,sku02,59280
14/10/2019,sku02,35568
21/10/2019,sku02,9360
28/10/2019,sku02,4368
04/11/2019,sku02,5200
11/11/2019,sku02,22880
18/11/2019,sku02,6864
25/11/2019,sku02,18512
02/12/2019,sku02,34528
09/12/2019,sku02,40976
16/12/2019,sku02,81952
23/12/2019,sku02,5200
30/12/2019,sku02,3952
06/01/2020,sku02,1248
13/01/2020,sku02,-18720
20/01/2020,sku02,31824
27/01/2020,sku02,28912
03/02/2020,sku02,78832
10/02/2020,sku02,37856
17/02/2020,sku02,13104
24/02/2020,sku02,26208
02/03/2020,sku02,24752
09/03/2020,sku02,23504
16/03/2020,sku02,16016
23/03/2020,sku02,57408
30/03/2020,sku02,6864
06/04/2020,sku02,17264
13/04/2020,sku02,15600
20/04/2020,sku02,7904
27/04/2020,sku02,20176
04/05/2020,sku02,10608
11/05/2020,sku02,26624
18/05/2020,sku02,26000
25/05/2020,sku02,36816
01/06/2020,sku02,23920
08/06/2020,sku02,8112
15/06/2020,sku02,50752
22/06/2020,sku02,52416
29/06/2020,sku02,32656
06/07/2020,sku02,32448
13/07/2020,sku02,16016
20/07/2020,sku02,31616
27/07/2020,sku02,32448
03/08/2020,sku02,24128
10/08/2020,sku02,28704
17/08/2020,sku02,9568
24/08/2020,sku02,7696
31/08/2020,sku02,24752
