Week,Sku,Sales
09/04/2018,sku03,9360
16/04/2018,sku03,13740
23/04/2018,sku03,4080
30/04/2018,sku03,5580
07/05/2018,sku03,24180
14/05/2018,sku03,11640
21/05/2018,sku03,2400
28/05/2018,sku03,13560
04/06/2018,sku03,32100
11/06/2018,sku03,43260
18/06/2018,sku03,11940
25/06/2018,sku03,7380
02/07/2018,sku03,10500
09/07/2018,sku03,24540
16/07/2018,sku03,26520
23/07/2018,sku03,14940
30/07/2018,sku03,12180
06/08/2018,sku03,15480
13/08/2018,sku03,18180
20/08/2018,sku03,5040
27/08/2018,sku03,19920
03/09/2018,sku03,35760
10/09/2018,sku03,9840
17/09/2018,sku03,19140
24/09/2018,sku03,52020
01/10/2018,sku03,33240
08/10/2018,sku03,7080
15/10/2018,sku03,27000
22/10/2018,sku03,26400
29/10/2018,sku03,49260
05/11/2018,sku03,8460
12/11/2018,sku03,44040
19/11/2018,sku03,8820
26/11/2018,sku03,38040
03/12/2018,sku03,7260
10/12/2018,sku03,19500
17/12/2018,sku03,48060
24/12/2018,sku03,2700
31/12/2018,sku03,18480
07/01/2019,sku03,6180
14/01/2019,sku03,3180
21/01/2019,sku03,11760
28/01/2019,sku03,5640
04/02/2019,sku03,51120
11/02/2019,sku03,10380
18/02/2019,sku03,29880
25/02/2019,sku03,19860
04/03/2019,sku03,19320
11/03/2019,sku03,25020
18/03/2019,sku03,11520
25/03/2019,sku03,8880
01/04/2019,sku03,11760
08/04/2019,sku03,10980
15/04/2019,sku03,36300
22/04/2019,sku03,16620
29/04/2019,sku03,15600
06/05/2019,sku03,23940
13/05/2019,sku03,12060
20/05/2019,sku03,36120
27/05/2019,sku03,36360
03/06/2019,sku03,10320
10/06/2019,sku03,60420
17/06/2019,sku03,19860
24/06/2019,sku03,13140
01/07/2019,sku03,19020
08/07/2019,sku03,13860
15/07/2019,sku03,7380
22/07/2019,sku03,24000
29/07/2019,sku03,26940
05/08/2019,sku03,44760
12/08/2019,sku03,12660
19/08/2019,sku03,23040
26/08/2019,sku03,23940
02/09/2019,sku03,9900
09/09/2019,sku03,13440
16/09/2019,sku03,26340
23/09/2019,sku03,28620
30/09/2019,sku03,15600
07/10/2019,sku03,6540
14/10/2019,sku03,15060
21/10/2019,sku03,9420
28/10/2019,sku03,8460
04/11/2019,sku03,41700
11/11/2019,sku03,26460
18/11/2019,sku03,11580
25/11/2019,sku03,13920
02/12/2019,sku03,34980
09/12/2019,sku03,27240
16/12/2019,sku03,9720
23/12/2019,sku03,3540
30/12/2019,sku03,6840
06/01/2020,sku03,6480
13/01/2020,sku03,5280
20/01/2020,sku03,1200
27/01/2020,sku03,8760
03/02/2020,sku03,20580
10/02/2020,sku03,29220
17/02/2020,sku03,39900
24/02/2020,sku03,37320
02/03/2020,sku03,11280
09/03/2020,sku03,36420
16/03/2020,sku03,22080
23/03/2020,sku03,54300
30/03/2020,sku03,15900
06/04/2020,sku03,14340
13/04/2020,sku03,12420
20/04/2020,sku03,5400
27/04/2020,sku03,6840
04/05/2020,sku03,3720
11/05/2020,sku03,9720
18/05/2020,sku03,4800
25/05/2020,sku03,11280
01/06/2020,sku03,10020
08/06/2020,sku03,5100
15/06/2020,sku03,34380
22/06/2020,sku03,26760
29/06/2020,sku03,19140
06/07/2020,sku03,28320
13/07/2020,sku03,51240
20/07/2020,sku03,18960
27/07/2020,sku03,13920
03/08/2020,sku03,21300
10/08/2020,sku03,19560
17/08/2020,sku03,12420
24/08/2020,sku03,17400
31/08/2020,sku03,13560
