Week,Sku,Sales
09/04/2018,sku05,12588
16/04/2018,sku05,1332
07/05/2018,sku05,732
14/05/2018,sku05,9384
04/06/2018,sku05,192
11/06/2018,sku05,240
02/07/2018,sku05,7500
09/07/2018,sku05,45576
16/07/2018,sku05,888
06/08/2018,sku05,21780
13/08/2018,sku05,36
03/09/2018,sku05,44136
10/09/2018,sku05,21780
17/09/2018,sku05,780
01/10/2018,sku05,22488
08/10/2018,sku05,696
15/10/2018,sku05,60
05/11/2018,sku05,84
12/11/2018,sku05,684
03/12/2018,sku05,22056
10/12/2018,sku05,21936
17/12/2018,sku05,180
07/01/2019,sku05,0
14/01/2019,sku05,84
04/02/2019,sku05,0
11/02/2019,sku05,21876
18/02/2019,sku05,21876
04/03/2019,sku05,45336
11/03/2019,sku05,22452
18/03/2019,sku05,60
01/04/2019,sku05,21912
08/04/2019,sku05,72
15/04/2019,sku05,156
06/05/2019,sku05,21996
13/05/2019,sku05,864
03/06/2019,sku05,21864
10/06/2019,sku05,996
17/06/2019,sku05,25896
01/07/2019,sku05,12
08/07/2019,sku05,13308
15/07/2019,sku05,816
05/08/2019,sku05,36
12/08/2019,sku05,3420
02/09/2019,sku05,816
09/09/2019,sku05,34440
16/09/2019,sku05,276
07/10/2019,sku05,23856
14/10/2019,sku05,11916
04/11/2019,sku05,22500
11/11/2019,sku05,816
02/12/2019,sku05,1380
09/12/2019,sku05,27816
16/12/2019,sku05,696
06/01/2020,sku05,0
13/01/2020,sku05,48
03/02/2020,sku05,7920
10/02/2020,sku05,4716
17/02/2020,sku05,22476
02/03/2020,sku05,68016
09/03/2020,sku05,23148
16/03/2020,sku05,3480
06/04/2020,sku05,24
13/04/2020,sku05,48
04/05/2020,sku05,288
11/05/2020,sku05,11280
01/06/2020,sku05,2016
08/06/2020,sku05,756
15/06/2020,sku05,804
06/07/2020,sku05,180
13/07/2020,sku05,21792
03/08/2020,sku05,44112
10/08/2020,sku05,708
17/08/2020,sku05,67356
