Week,Sku,Sales
09/04/2018,sku03,9360
16/04/2018,sku03,13740
07/05/2018,sku03,24180
14/05/2018,sku03,11640
04/06/2018,sku03,32100
11/06/2018,sku03,43260
02/07/2018,sku03,10500
09/07/2018,sku03,24540
16/07/2018,sku03,26520
06/08/2018,sku03,15480
13/08/2018,sku03,18180
03/09/2018,sku03,35760
10/09/2018,sku03,9840
17/09/2018,sku03,19140
01/10/2018,sku03,33240
08/10/2018,sku03,7080
15/10/2018,sku03,27000
05/11/2018,sku03,8460
12/11/2018,sku03,44040
03/12/2018,sku03,7260
10/12/2018,sku03,19500
17/12/2018,sku03,48060
07/01/2019,sku03,6180
14/01/2019,sku03,3180
04/02/2019,sku03,51120
11/02/2019,sku03,10380
18/02/2019,sku03,29880
04/03/2019,sku03,19320
11/03/2019,sku03,25020
18/03/2019,sku03,11520
01/04/2019,sku03,11760
08/04/2019,sku03,10980
15/04/2019,sku03,36300
06/05/2019,sku03,23940
13/05/2019,sku03,12060
03/06/2019,sku03,10320
10/06/2019,sku03,60420
17/06/2019,sku03,19860
01/07/2019,sku03,19020
08/07/2019,sku03,13860
15/07/2019,sku03,7380
05/08/2019,sku03,44760
12/08/2019,sku03,12660
02/09/2019,sku03,9900
09/09/2019,sku03,13440
16/09/2019,sku03,26340
07/10/2019,sku03,6540
14/10/2019,sku03,15060
04/11/2019,sku03,41700
11/11/2019,sku03,26460
02/12/2019,sku03,34980
09/12/2019,sku03,27240
16/12/2019,sku03,9720
06/01/2020,sku03,6480
13/01/2020,sku03,5280
03/02/2020,sku03,20580
10/02/2020,sku03,29220
17/02/2020,sku03,39900
02/03/2020,sku03,11280
09/03/2020,sku03,36420
16/03/2020,sku03,22080
06/04/2020,sku03,14340
13/04/2020,sku03,12420
04/05/2020,sku03,3720
11/05/2020,sku03,9720
01/06/2020,sku03,10020
08/06/2020,sku03,5100
15/06/2020,sku03,34380
06/07/2020,sku03,28320
13/07/2020,sku03,51240
03/08/2020,sku03,21300
10/08/2020,sku03,19560
17/08/2020,sku03,12420
