Week,Sku,Sales
09/04/2018,sku01,7640
16/04/2018,sku01,760
07/05/2018,sku01,1180
14/05/2018,sku01,38040
04/06/2018,sku01,1020
11/06/2018,sku01,700
02/07/2018,sku01,100
09/07/2018,sku01,20180
16/07/2018,sku01,56640
06/08/2018,sku01,18480
13/08/2018,sku01,19060
03/09/2018,sku01,58440
10/09/2018,sku01,37060
17/09/2018,sku01,20720
01/10/2018,sku01,76720
08/10/2018,sku01,73980
15/10/2018,sku01,48220
05/11/2018,sku01,56560
12/11/2018,sku01,60960
03/12/2018,sku01,57520
10/12/2018,sku01,37000
17/12/2018,sku01,500
07/01/2019,sku01,76820
14/01/2019,sku01,38040
04/02/2019,sku01,36960
11/02/2019,sku01,26900
18/02/2019,sku01,92500
04/03/2019,sku01,93620
11/03/2019,sku01,56000
18/03/2019,sku01,56140
01/04/2019,sku01,57960
08/04/2019,sku01,73960
15/04/2019,sku01,39840
06/05/2019,sku01,56320
13/05/2019,sku01,80200
03/06/2019,sku01,40160
10/06/2019,sku01,60900
17/06/2019,sku01,55440
01/07/2019,sku01,36960
08/07/2019,sku01,25340
15/07/2019,sku01,4540
05/08/2019,sku01,3720
12/08/2019,sku01,60140
02/09/2019,sku01,58500
09/09/2019,sku01,48080
16/09/2019,sku01,38760
07/10/2019,sku01,40420
14/10/2019,sku01,58720
04/11/2019,sku01,79220
11/11/2019,sku01,39200
02/12/2019,sku01,37600
09/12/2019,sku01,66680
16/12/2019,sku01,0
06/01/2020,sku01,18520
13/01/2020,sku01,36580
03/02/2020,sku01,37580
10/02/2020,sku01,4980
17/02/2020,sku01,18480
02/03/2020,sku01,92980
09/03/2020,sku01,92400
16/03/2020,sku01,58240
06/04/2020,sku01,18520
13/04/2020,sku01,980
04/05/2020,sku01,20760
11/05/2020,sku01,280
01/06/2020,sku01,37820
08/06/2020,sku01,19700
15/06/2020,sku01,18500
06/07/2020,sku01,56420
13/07/2020,sku01,18480
03/08/2020,sku01,57480
10/08/2020,sku01,79560
17/08/2020,sku01,55460
