Week,Sku,Sales
23/04/2018,sku05,1668
30/04/2018,sku05,420
21/05/2018,sku05,21804
28/05/2018,sku05,708
18/06/2018,sku05,324
25/06/2018,sku05,13488
23/07/2018,sku05,144
30/07/2018,sku05,168
20/08/2018,sku05,2796
27/08/2018,sku05,120
24/09/2018,sku05,13704
22/10/2018,sku05,11724
29/10/2018,sku05,22032
19/11/2018,sku05,44940
26/11/2018,sku05,132
24/12/2018,sku05,36
31/12/2018,sku05,0
21/01/2019,sku05,48
28/01/2019,sku05,0
25/02/2019,sku05,192
25/03/2019,sku05,1380
22/04/2019,sku05,21804
29/04/2019,sku05,22488
20/05/2019,sku05,120
27/05/2019,sku05,22020
24/06/2019,sku05,21828
22/07/2019,sku05,4212
29/07/2019,sku05,48
19/08/2019,sku05,720
26/08/2019,sku05,22824
23/09/2019,sku05,21840
30/09/2019,sku05,7968
21/10/2019,sku05,21852
28/10/2019,sku05,21876
18/11/2019,sku05,24
25/11/2019,sku05,22536
23/12/2019,sku05,0
30/12/2019,sku05,0
20/01/2020,sku05,24
27/01/2020,sku05,30480
24/02/2020,sku05,0
23/03/2020,sku05,108
30/03/2020,sku05,23772
20/04/2020,sku05,12
27/04/2020,sku05,1320
18/05/2020,sku05,12
25/05/2020,sku05,660
22/06/2020,sku05,4140
29/06/2020,sku05,24456
20/07/2020,sku05,5400
27/07/2020,sku05,0
24/08/2020,sku05,24420
31/08/2020,sku05,78552
