Week,Sku,Sales
23/04/2018,sku02,4160
30/04/2018,sku02,2912
21/05/2018,sku02,2496
28/05/2018,sku02,2912
18/06/2018,sku02,20800
25/06/2018,sku02,2080
23/07/2018,sku02,2496
30/07/2018,sku02,2080
20/08/2018,sku02,3328
27/08/2018,sku02,2288
24/09/2018,sku02,3328
22/10/2018,sku02,3744
29/10/2018,sku02,3328
19/11/2018,sku02,2704
26/11/2018,sku02,3536
24/12/2018,sku02,832
31/12/2018,sku02,832
21/01/2019,sku02,4160
28/01/2019,sku02,3120
25/02/2019,sku02,1872
25/03/2019,sku02,5408
22/04/2019,sku02,5408
29/04/2019,sku02,1040
20/05/2019,sku02,4992
27/05/2019,sku02,3952
24/06/2019,sku02,16848
22/07/2019,sku02,29744
29/07/2019,sku02,18720
19/08/2019,sku02,14768
26/08/2019,sku02,31616
23/09/2019,sku02,23088
30/09/2019,sku02,27872
21/10/2019,sku02,9360
28/10/2019,sku02,4368
18/11/2019,sku02,6864
25/11/2019,sku02,18512
23/12/2019,sku02,5200
30/12/2019,sku02,3952
20/01/2020,sku02,31824
27/01/2020,sku02,28912
24/02/2020,sku02,26208
23/03/2020,sku02,57408
30/03/2020,sku02,6864
20/04/2020,sku02,7904
27/04/2020,sku02,20176
18/05/2020,sku02,26000
25/05/2020,sku02,36816
22/06/2020,sku02,52416
29/06/2020,sku02,32656
20/07/2020,sku02,31616
27/07/2020,sku02,32448
24/08/2020,sku02,7696
31/08/2020,sku02,24752
